Price,Close,High,Low,Open,Volume
Ticker,META,META,META,META,META
Date,,,,,
2015-01-02,77.90579223632812,78.38246582782209,77.16099495844173,78.03489528010238,18177500
2015-01-05,76.65455627441406,78.70026418717447,76.3268435767957,77.43907716728613,26452200
2015-01-06,75.62176513671875,77.05177101052082,74.83724428977564,76.69427522442359,27399300
2015-01-07,75.62176513671875,76.82337071450117,75.29405245828599,76.22753430237772,22045300
2015-01-08,77.6376724243164,77.68732860924139,75.55224145745845,76.20765915494177,23961000
2015-01-09,77.20072937011719,78.0746298160812,76.66447434458584,77.65753752302075,21157000
2015-01-12,76.18781280517578,77.4589325371396,75.68134843255946,77.3000387824085,19190200
2015-01-13,75.91967010498047,77.53836778859728,75.32383376701954,76.6942656784468,25179600
2015-01-14,75.7508544921875,76.66447075521988,75.50258870920237,75.88988272454154,25918600
2015-01-15,73.53633117675781,76.0388470453841,73.02986683583829,75.87002812390118,34134000
2015-01-16,74.65848541259766,74.79751364281064,73.3277768965258,73.52639406573743,21791500
2015-01-20,75.71113586425781,75.78064998484794,74.30098794573189,75.19474633651272,22821600
2015-01-21,76.2076644897461,76.76378500925,75.32383888679506,75.63169361723473,25096700
2015-01-22,77.1113510131836,77.21065580760997,76.14807859666051,76.63467739287881,19519500
2015-01-23,77.29010009765625,77.64760340685169,76.50557936783679,77.11134844305853,16746500
2015-01-26,76.96239471435547,77.92566718946722,76.75385236043499,77.43906836365275,19260800
2015-01-27,75.25431823730469,76.3466860990824,75.10535726150091,76.17786719552412,20110000
2015-01-28,75.71113586425781,77.10142585253124,75.47280281887322,76.36656120965407,53306400
2015-01-29,77.45891571044922,77.47877363724118,73.69520594816258,76.31689171993713,61293500
2015-01-30,75.38343048095703,77.61782266116471,75.22453673365845,77.45892891386613,42649500
2015-02-02,74.46980285644531,75.6118269844149,73.23840668245043,75.58203630240648,41955300
2015-02-03,74.87696838378906,75.05572006664006,73.34765011416847,74.6684260165414,26957700
2015-02-04,75.10536193847656,75.82036860568373,74.48966764563629,74.5691069380712,20277400
2015-02-05,75.08550262451172,75.45293870406861,74.68827586378244,75.18480742057648,15062600
2015-02-06,73.95342254638672,75.17488611934097,73.734947415882,75.15502818769119,21211000
2015-02-09,73.92362976074219,74.31092381691822,72.9404917013988,73.53633570456614,16194300
2015-02-10,74.66841888427734,74.81737229203269,73.98320290272122,74.330773481601,15811300
2015-02-11,75.97926330566406,76.21759633892779,74.50952651818494,74.56910788238324,20877400
2015-02-12,75.70121002197266,76.33676985505909,75.36356459888064,76.32683710178468,17235000
2015-02-13,75.21460723876953,75.9494794871551,74.97627418396753,75.92961397964673,18621900
2015-02-17,75.07556915283203,76.376486971171,74.55917967235953,74.77765476749144,25254400
2015-02-18,76.17787170410156,76.3665561230516,74.92661004035207,75.41321642854213,22426400
2015-02-19,78.86907196044922,79.28615665666565,76.41620481729427,76.4559282516678,45851200
2015-02-20,79.34576416015625,79.78270688755114,78.65061526068841,78.99819349865842,36931700
2015-02-23,78.2930908203125,79.63373206054715,77.83628270551343,79.40532421491254,24139100
2015-02-24,77.90579223632812,78.92865352885998,77.55822168860841,77.9554484187751,18897100
2015-02-25,79.00811004638672,79.64366992268918,77.95546542184914,77.95546542184914,25593800
2015-02-26,79.85221099853516,80.80555070703505,79.16699500510971,79.3258811682911,31111900
2015-02-27,78.42218780517578,80.66651234902675,78.07461726389721,80.12032465811072,30739200
2015-03-02,79.19678497314453,79.30602252405271,77.97531398411236,78.45198762229991,21662500
2015-03-03,79.0478286743164,79.14713347835591,77.97531860715962,79.05776142766162,18635000
2015-03-04,80.33881378173828,80.58707957984225,78.30303120669738,78.74991418916706,28126700
2015-03-05,80.64665222167969,81.42124021572533,80.48776606784806,80.66651772620244,27825700
2015-03-06,79.45497131347656,80.76581414669482,79.27621967365273,80.338796761364,24488600
2015-03-09,78.8889389038086,79.35567979561701,78.084552601906,79.12727193792354,18925100
2015-03-10,77.01205444335938,78.71019161175653,77.01205444335938,77.95546145586746,23067100
2015-03-11,77.03189849853516,77.88593330562438,76.72405138544588,77.26030632779047,20215700
2015-03-12,78.38247680664062,78.5016471153234,77.36955570048472,77.55823255197733,16093300
2015-03-13,77.50858306884766,78.8293513203505,77.14114697022076,78.05476326378579,18557300
2015-03-16,77.52843475341797,77.57809093826275,76.82336087214864,77.41919720793554,19305400
2015-03-17,78.80948638916016,79.22657106310672,77.79655780789562,77.8164233122569,22170000
2015-03-18,80.34873962402344,80.67644469121583,78.62080436278599,78.7002512296988,36912400
2015-03-19,82.17596435546875,82.42423010880853,80.43810408209025,80.55727437122238,42099500
2015-03-20,83.21869659423828,84.0131425835697,82.49375714720854,82.81153705823525,44466300
2015-03-23,83.84432220458984,84.37064446277752,82.7221635706514,83.33785787578994,27357300
2015-03-24,84.71821594238281,85.47294606706278,83.9336951350723,84.12237956035996,32576500
2015-03-25,82.34477996826172,84.92674218482023,82.34477996826172,84.9068842589909,37436100
2015-03-26,82.4341812133789,83.18890381650414,81.57021347187492,82.1461919662109,32794800
2015-03-27,82.72216796875,83.36765299052405,82.30507566472535,82.80160726699523,18372600
2015-03-30,82.62285614013672,83.75494759477176,81.8383428705938,83.22862530507822,24527700
2015-03-31,81.649658203125,82.92077789758312,81.63972544962958,82.32494148786476,19734300
2015-04-01,81.10346221923828,82.14618151331935,80.3090162786496,81.92770641730462,22058200
2015-04-02,80.9942398071289,81.98730310079736,80.87507706083055,81.67945590423108,19664100
2015-04-06,81.8681411743164,82.23556974771125,80.23951796250903,80.23951796250903,19062900
2015-04-07,81.74895477294922,82.84132267679522,81.64964997741235,82.07666741704409,17467000
2015-04-08,81.70923614501953,82.52354763866644,81.2722859271946,82.05680673807541,18966700
2015-04-09,81.5999984741211,82.22563311719959,81.14319032726085,81.92771113702214,15927300
2015-04-10,81.47091674804688,82.03696254479487,81.3418212422875,81.63973569630267,12529700
2015-04-13,82.4341812133789,83.3577303244793,81.3517383480598,81.36167110181627,26883100
2015-04-14,82.94062805175781,83.10945453946718,81.8681256454088,82.59305747671553,19634200
2015-04-15,82.1362533569336,83.0796679082906,81.6993031404537,82.97043035417062,22390900
2015-04-16,81.73902893066406,82.4937590781955,81.58014275966691,81.8979226781321,13769700
2015-04-17,80.21964263916016,81.54041848972851,79.81249067425709,80.91479141252441,24215000
2015-04-20,82.51360321044922,82.5731921440207,80.67643812726877,80.97436006571732,28796800
2015-04-21,83.0399398803711,83.90389993603397,82.96049301331902,83.41730113416301,27171900
2015-04-22,84.04293060302734,84.15216815427509,83.06973297105527,83.7350834548585,45548000
2015-04-23,81.8383560180664,84.99629026355517,81.8383560180664,83.51662796258873,73728100
2015-04-24,80.96443939208984,82.36466210462187,80.91479077925506,82.19583560686549,29660400
2015-04-27,81.34181213378906,82.35473328637086,81.06374806745123,81.30208869574079,25446000
2015-04-28,80.12033081054688,81.33186899872577,79.67345544836883,81.26235488513207,23775300
2015-04-29,79.91179656982422,80.82541289151074,78.96838198803128,79.45498840898095,26430300
2015-04-30,78.22357177734375,80.39838224412799,77.7766964430726,79.4549753933468,28999000
2015-05-01,78.44206237792969,79.20672530747963,77.56816946348665,78.69032818530829,24136400
2015-05-04,78.2633056640625,79.13720609881658,78.08455399117832,78.77970275304821,14692000
2015-05-05,77.02198028564453,78.25338412338216,76.68434243032588,78.00511832042278,22311300
2015-05-06,77.5582275390625,78.26330143947112,76.51551581724846,77.42913206201989,28663000
2015-05-07,77.88594055175781,78.39240486272497,77.02197291263386,77.45892310848555,19749400
2015-05-08,77.96539306640625,78.68039977450702,77.48871940218211,78.55129671103442,19943600
2015-05-11,77.4688491821289,78.48177014026449,77.38940232128346,77.9355900190088,18874100
2015-05-12,76.92266845703125,77.34968590219526,76.25731798419694,77.32982797341872,21285300
