Price,Close,High,Low,Open,Volume
Ticker,NVDA,NVDA,NVDA,NVDA,NVDA
Date,,,,,
2015-01-02,0.4830114543437958,0.4866106706596851,0.47533316434163364,0.4830114543437958,113680000
2015-01-05,0.47485315799713135,0.48445101806687674,0.4726936573588099,0.4830113319054664,197952000
2015-01-06,0.4604564607143402,0.47605293853725933,0.45997657480977905,0.47557305263269817,197764000
2015-01-07,0.4592567980289459,0.46789485997472313,0.45781711150338267,0.4638157576868942,321808000
2015-01-08,0.47653287649154663,0.47941224944100996,0.4642956272677284,0.46453558454811705,283780000
2015-01-09,0.4784524142742157,0.48205163020039327,0.47173392555168125,0.4782124856150027,209540000
2015-01-12,0.4724537432193756,0.47989207472539636,0.46813471294503445,0.47965211747534536,190732000
2015-01-13,0.47173383831977844,0.4856506991135987,0.46837460888159105,0.47605286802872854,236720000
2015-01-14,0.47365349531173706,0.47509318167451003,0.4654953488661516,0.46669507796719645,155260000
2015-01-15,0.4702942967414856,0.47989213019211185,0.47005433946369996,0.477012785877684,188932000
2015-01-16,0.4789324104785919,0.4794122964826572,0.4681348180662067,0.4695745046822056,181512000
2015-01-20,0.48037201166152954,0.4849309421912557,0.47437333756425354,0.48229155533640417,140308000
2015-01-21,0.48709040880203247,0.4882901663495246,0.47437327627807646,0.477732534482707,144780000
2015-01-22,0.4954887926578522,0.4969284795658932,0.4830115823983202,0.4880504293688461,159712000
2015-01-23,0.4969280958175659,0.4978878672792123,0.49188919553066845,0.4959682671483459,120416000
2015-01-26,0.49476876854896545,0.49716822678371403,0.4916494671230327,0.49476876854896545,133240000
2015-01-27,0.4710140824317932,0.4875703602738826,0.47005428204170013,0.48709044577693783,357948000
2015-01-28,0.46333593130111694,0.47869248466814424,0.46309597398139585,0.4767729119217902,272728000
2015-01-29,0.47461333870887756,0.4772527258077703,0.4614162887992114,0.46357581853881524,235340000
2015-01-30,0.46069639921188354,0.476772791886786,0.45997658464155466,0.471254032356879,298200000
2015-02-02,0.47077420353889465,0.4726937760347776,0.4544578802295917,0.4635758281321847,259604000
2015-02-03,0.48253151774406433,0.48301143230014815,0.47173395510057875,0.4741334134657978,183468000
2015-02-04,0.4837312400341034,0.4892499995898986,0.479652138229517,0.4810918531883216,181516000
2015-02-05,0.49164947867393494,0.49188940734076764,0.48373126059247296,0.4842111179261384,140448000
2015-02-06,0.4894900619983673,0.4969284244625491,0.4873305318757715,0.49116967746896023,210524000
